DOI,Title,Abstract
10.3390/clockssleep4020021,Combining Wake-Up-Back-to-Bed with Cognitive Induction Techniques: Does Earlier Sleep Interruption Reduce Lucid Dream Induction Rate?,"Lucid dreaming offers the chance to investigate dreams from within a dream and by real-time dialogue between experimenters and dreamers during REM sleep. This state of consciousness opens a new experimental venue for dream research. However, laboratory study in this field is limited due to the rarity of lucid dreamers. In a previous study, we were able to induce in 50% of the participants a lucid dream in a single sleep laboratory night by combining a wake-up-back-to-bed (WBTB) sleep routine and a mnemonic method (Mnemonic Induction of Lucid Dreams, MILD). In three experiments, we tried to replicate our earlier findings while we adapted our procedure in shortening (Exp1–3: 4.5 vs. 6 h of uninterrupted sleep in the first half of the night), simplifying (Exp2: time-based wakening vs. REM wakening in the second half of the night), and applying another induction technique (Exp3: reality testing vs. MILD). In the three conditions, four out of 15 (26%), zero out of 20 (0%), and three out of 15 (20%) participants reported a lucid dream. Compared to the original study, the earlier sleep interruption seems to reduce the lucid dream induction rate. Furthermore, without REM awakenings in the morning, lucid dream induction failed, whereas reality testing showed a lower success rate compared to MILD. Further systematic sleep laboratory studies are needed to develop reliable techniques for lucid dream research."
10.3389/fpsyg.2020.01746,Findings From the International Lucid Dream Induction Study.,"The International Lucid Dream Induction Study (ILDIS) investigated and compared the effectiveness of five different combinations of lucid dream induction techniques including reality testing (RT), Wake Back to Bed (WBTB), the Mnemonic Induction of Lucid Dreams (MILD) technique, the Senses Initiated Lucid Dream (SSILD) technique, and a hybrid technique combining elements of both MILD and SSILD. Participants with an interest in lucid dreaming ("
10.3389/fpsyg.2020.01383,"Wake Up, Work on Dreams, Back to Bed and Lucid Dream: A Sleep Laboratory Study.","Lucid dreaming offers many opportunities to study consciousness processes. However, laboratory research in this area is limited because frequent lucid dreamers are rare. Several studies demonstrated that different methods of induction could increase the number of lucid dreams. In four field studies, a combination of a wake-up-back-to-bed (WBTB) sleep protocol and a mnemonic technique (MILD) showed promising results. To further investigate the effectiveness of this combined approach, we conducted a sleep laboratory experiment with four different conditions. The general experimental procedure was the following: Participants were awakened after 6 h of sleep from a subsequent REM period and kept awake for 30 or 60 min, during which they were asked to practice MILD or a control task (e.g., reading). Then they returned to bed for a morning sleep period. In the first condition eleven sport students, who attended a seminar on sleep and dreams, spent one night in a sleep laboratory. To avoid biases due to the seminar attendance (e.g., higher motivation), in the second condition 15 participants who did not attend the seminar were recruited. In the third condition, 14 sport students were tested with a shorter awakening period (30 min). Finally, the fourth condition served as a control condition, whereas eleven sport students slept two non-consecutive nights in a laboratory. Instead of MILD, in one night the participants read a book (fiction, unrelated to dreams), while in the other night they played a Nintendo Wii video game. In the first three conditions, six (54%), eight (53%), and five participants (36%) reported lucid dreams during the morning sleep period, whereas three, (27%), four (27%), and two participants (14%) produced PSG-verified eye signals. In contrast, in the reading condition, only one (9%) participant reported lucid dreams and no eye movements. No lucid dreams were observed in the Wii condition. The findings of the present study show that by using a combination of WBTB and MILD, lucid dreams can be effectively induced in people who are not selected for their lucid dream abilities."
10.1016/j.concog.2018.05.012,Exploring the effects of galantamine paired with meditation and dream reliving on recalled dreams: Toward an integrated protocol for lucid dream induction and nightmare resolution.,"An experimental home study examined the impact of a pre-sleep protocol for enhancing self-awareness, lucidity, and responsiveness in dreams. It included ingesting the cholinesterase inhibitor galantamine--which is widely reported to increase the frequency of lucid dreaming--prior to engaging in middle-of-the-night meditation and the imaginary reliving of a distressing dream while exercising new responses. Thirty-five participants completed an eight-night study, which included pre- and post-baseline nights and six conditions: waking for 40 min before returning to bed, called Wake-Back-to-Bed (WBTB); Wake-Back-to-Bed plus placebo (WBTB + P); Wake-Back-to-Bed plus galantamine (WBTB + G); meditation and dream reliving (MDR); meditation and dream reliving plus placebo (MDR + P); and meditation and dream reliving plus galantamine (MDR + G). The outcome measures included lucidity, reflectiveness, interactive behavior, role change, constructive action, and fear and threat, as measured by the participants' self-ratings. The results support the use of this protocol in further studies of lucid dream induction and nightmare/trauma resolution."
10.4324/9781315812625,Lucid Dreaming,Not scidirect/frontiers
10.4324/9780203772546-24,Physiological Studies of Lucid Dreaming: Stephen LaBerge,Not scidirect/frontiers
10.2307/j.ctv346vfr.25,LUCID DREAMING WITHIN BIOLOGICAL CLOCK,Not scidirect/frontiers
10.1111/j.1365-2869.2012.01022.x,Lucid dreaming: an age-dependent brain dissociation,Not scidirect/frontiers
10.1093/sleep/32.9.1191,Lucid Dreaming: a State of Consciousness with Features of Both Waking and Non-Lucid Dreaming,Not scidirect/frontiers
10.1007/978-1-349-74105-2_19,Lucid Dreaming/Lucid Reading: Notes on Sleepers in Blakeâs Songs,Broken Link
